Id;Label;Tipo;CategoriaNo
ADELHEID HAGENBACH;ADELHEID HAGENBACH;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
ADOLFO FRANCO JUNIOR;ADOLFO FRANCO JUNIOR;DOCENTE;DOCENTE_NAO_PRIMEIRO
ADRIANA MARIA COIMBRA HORBE;ADRIANA MARIA COIMBRA HORBE;DOCENTE;DOCENTE_PRIMEIRO_AUTOR
ADRIANO OTAVIO MALDANER;ADRIANO OTAVIO MALDANER;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
ALAN DA SILVA;ALAN DA SILVA;EGRESSO;EGRESSO
ALESSANDRA DE VASCONCELOS SALES;ALESSANDRA DE VASCONCELOS SALES;NÃO INFORMADO;NAO_INFORMADO
ALETEIA PATRICIA FAVACHO DE ARAUJO VON PAUMGARTTEN;ALETEIA PATRICIA FAVACHO DE ARAUJO VON PAUMGARTTEN;DOCENTE;DOCENTE_PRIMEIRO_AUTOR
ALINE BRIGNOL MENKE;ALINE BRIGNOL MENKE;NÃO INFORMADO;NAO_INFORMADO
ALINE LIMA DE OLIVEIRA PATERNO;ALINE LIMA DE OLIVEIRA PATERNO;DOCENTE;DOCENTE_PRIMEIRO_AUTOR
ALLYSTER RODRIGUES SILVA;ALLYSTER RODRIGUES SILVA;DISCENTE;DISCENTE
ANA JÚLIA LUZIANO BRICEÑO;ANA JÚLIA LUZIANO BRICEÑO;NÃO INFORMADO;NAO_INFORMADO
ANA LUCILA SANDOVAL OROZCO;ANA LUCILA SANDOVAL OROZCO;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
ANA PAULA MARQUES RAMOS;ANA PAULA MARQUES RAMOS;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
ANA PAULA MORAIS DO VALE;ANA PAULA MORAIS DO VALE;NÃO INFORMADO;NAO_INFORMADO
