Id;Label;Tipo;CategoriaNo
ABIEL COSTA MACEDO;ABIEL COSTA MACEDO;DOCENTE;DOCENTE_PRIMEIRO_AUTOR
ADALENE MOREIRA SILVA;ADALENE MOREIRA SILVA;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
ADEMIR ALVES AGUIAR;ADEMIR ALVES AGUIAR;EGRESSO;EGRESSO
ADEMIR PASTOR FERREIRA;ADEMIR PASTOR FERREIRA;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
ADILSON ANTONIO BERLATTO;ADILSON ANTONIO BERLATTO;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
ADOLFO FRANCO JUNIOR;ADOLFO FRANCO JUNIOR;DOCENTE;DOCENTE_PRIMEIRO_AUTOR
ADRIANO OTAVIO MALDANER;ADRIANO OTAVIO MALDANER;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
ALAIN PIETRUS;ALAIN PIETRUS;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
ALAN DA SILVA;ALAN DA SILVA;EGRESSO;EGRESSO
ALAN RICARDO DA SILVA;ALAN RICARDO DA SILVA;DOCENTE;DOCENTE_PRIMEIRO_AUTOR
ALAN THYAGO JENSEN;ALAN THYAGO JENSEN;EGRESSO;EGRESSO
ALDO JOSE GORGATTI ZARBIN;ALDO JOSE GORGATTI ZARBIN;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
ALEJANDRO CATALDO;ALEJANDRO CATALDO;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
ALEKSANDR NIKOLAIEVICH PINZUL;ALEKSANDR NIKOLAIEVICH PINZUL;DOCENTE;DOCENTE_PRIMEIRO_AUTOR
ALESANDRO FERREIRA DOS SANTOS;ALESANDRO FERREIRA DOS SANTOS;PARTICIPANTE EXTERNO;DOCENTE_PRIMEIRO_AUTOR
ALESSANDRA ALANIZ MACEDO;ALESSANDRA ALANIZ MACEDO;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
ALESSANDRA MAYUMI TOKURA ALOVISI;ALESSANDRA MAYUMI TOKURA ALOVISI;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
ALEX CARRAZEDO DANTAS;ALEX CARRAZEDO DANTAS;DOCENTE;DOCENTE_PRIMEIRO_AUTOR
ALEX FABIANO CORTEZ CAMPOS;ALEX FABIANO CORTEZ CAMPOS;DOCENTE;DOCENTE_PRIMEIRO_AUTOR
ALEXANDRE AUGUSTO MOREIRA LAPIS;ALEXANDRE AUGUSTO MOREIRA LAPIS;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
ALEXANDRE DE OLIVEIRA GOMES;ALEXANDRE DE OLIVEIRA GOMES;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
ALFREDO NOEL IUSEM;ALFREDO NOEL IUSEM;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
ALLEN STERN;ALLEN STERN;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
ALVARO KRUGER RAMOS;ALVARO KRUGER RAMOS;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
ALVARO PENTEADO CROSTA;ALVARO PENTEADO CROSTA;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
ALYSSON MARTINS ALMEIDA SILVA;ALYSSON MARTINS ALMEIDA SILVA;DOCENTE;DOCENTE_PRIMEIRO_AUTOR
ALYSSON TOBIAS RIBEIRO DA CUNHA;ALYSSON TOBIAS RIBEIRO DA CUNHA;DOCENTE;DOCENTE_PRIMEIRO_AUTOR
AMANDA MOREIRA LEITE;AMANDA MOREIRA LEITE;DISCENTE;DISCENTE
ANA LIVIA PROTAZIO SA;ANA LIVIA PROTAZIO SA;EGRESSO;EGRESSO
ANA MARIA GOES;ANA MARIA GOES;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
ANA PAULA DE MELO DA COSTA;ANA PAULA DE MELO DA COSTA;DISCENTE;DISCENTE
ANA PAULA MELO MARIANO;ANA PAULA MELO MARIANO;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
ANDRÉ JAMES SIMPSON;ANDRÉ JAMES SIMPSON;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
ANDRE LUIZ GALDINO;ANDRE LUIZ GALDINO;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
ANDRE WALCZUK GOMES;ANDRE WALCZUK GOMES;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
ANDREA SIMONE STUCCHI DE CAMARGO ALVAREZ BERNARDEZ;ANDREA SIMONE STUCCHI DE CAMARGO ALVAREZ BERNARDEZ;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
