Id;Label;Tipo;CategoriaNo
AB GUIMARÃES;AB GUIMARÃES;NÃO INFORMADO;NAO_INFORMADO
ABRAHAM CHIAN LONG CHIAN;ABRAHAM CHIAN LONG CHIAN;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
ADAO WAGNER PEGO EVANGELISTA;ADAO WAGNER PEGO EVANGELISTA;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
ADRIANO ALVES PEREIRA;ADRIANO ALVES PEREIRA;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
ADRIANO DE OLIVEIRA ANDRADE;ADRIANO DE OLIVEIRA ANDRADE;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
ADRIANO TODOROVIC FABRO;ADRIANO TODOROVIC FABRO;DOCENTE;DOCENTE_PRIMEIRO_AUTOR
ALAN DEMÉTRIUS BARIA VALEJO;ALAN DEMÉTRIUS BARIA VALEJO;NÃO INFORMADO;NAO_INFORMADO
ALBERTO JOSE ALVARES;ALBERTO JOSE ALVARES;DOCENTE;DOCENTE_PRIMEIRO_AUTOR
ALDERY SILVEIRA JUNIOR;ALDERY SILVEIRA JUNIOR;NÃO INFORMADO;NAO_INFORMADO
ALEX FERREIRA DOS SANTOS;ALEX FERREIRA DOS SANTOS;NÃO INFORMADO;NAO_INFORMADO
ALEXANDER C SMITH;ALEXANDER C SMITH;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
ALEXANDRE CREPORY ABBOTT DE OLIVEIRA;ALEXANDRE CREPORY ABBOTT DE OLIVEIRA;DISCENTE;DISCENTE
ALEXANDRE DE CASTRO PEREIRA;ALEXANDRE DE CASTRO PEREIRA;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
ALEXANDRE RUSSI JUNIOR;ALEXANDRE RUSSI JUNIOR;DISCENTE;DISCENTE
ALFREDO DE OLIVEIRA ASSIS;ALFREDO DE OLIVEIRA ASSIS;DISCENTE;DISCENTE
ALICE GONCALVES OSORIO;ALICE GONCALVES OSORIO;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
ALISSON LIMA SILVA;ALISSON LIMA SILVA;DISCENTE;DISCENTE
ALR SOUZA;ALR SOUZA;NÃO INFORMADO;NAO_INFORMADO
ALVARO MARTINS DELGADO NETO;ALVARO MARTINS DELGADO NETO;DISCENTE;DISCENTE
ALYSSON MARTINS ALMEIDA SILVA;ALYSSON MARTINS ALMEIDA SILVA;DOCENTE;DOCENTE_PRIMEIRO_AUTOR
AMAURI GUTIERREZ MARTINS BRITTO;AMAURI GUTIERREZ MARTINS BRITTO;DOCENTE;DOCENTE_PRIMEIRO_AUTOR
ANA CAROLINA GONZAGA PIRES;ANA CAROLINA GONZAGA PIRES;EGRESSO;EGRESSO
ANA PAULA MARQUES RAMOS;ANA PAULA MARQUES RAMOS;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
ANDERSON DA SILVA VOLPATO;ANDERSON DA SILVA VOLPATO;DISCENTE;DISCENTE
ANDRE ALMAGRO;ANDRE ALMAGRO;EGRESSO;EGRESSO
ANDRE LUIS BRASIL CAVALCANTE;ANDRE LUIS BRASIL CAVALCANTE;DOCENTE;DOCENTE_PRIMEIRO_AUTOR
ANDRE LUIZ MARQUES SERRANO;ANDRE LUIZ MARQUES SERRANO;DOCENTE;DOCENTE_PRIMEIRO_AUTOR
ANDRE MURILO DE ALMEIDA PINTO;ANDRE MURILO DE ALMEIDA PINTO;DOCENTE;DOCENTE_PRIMEIRO_AUTOR
ANDRE PACHECO DE ASSIS;ANDRE PACHECO DE ASSIS;DOCENTE;DOCENTE_PRIMEIRO_AUTOR
ANDRE TEOFILO BECK;ANDRE TEOFILO BECK;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
ANDREAS BÜCK;ANDREAS BÜCK;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
ANDREI COELHO;ANDREI COELHO;NÃO INFORMADO;NAO_INFORMADO
ANDREIA AOYAGUI NASCIMENTO;ANDREIA AOYAGUI NASCIMENTO;DOCENTE;DOCENTE_NAO_PRIMEIRO
ANDREY BARBOSA GUIMARAES;ANDREY BARBOSA GUIMARAES;EGRESSO;EGRESSO
ANDRIELLI MORAIS DE OLIVEIRA;ANDRIELLI MORAIS DE OLIVEIRA;DOCENTE;DOCENTE_NAO_PRIMEIRO
ANNA CAROLINA BRITTO DE FARIA;ANNA CAROLINA BRITTO DE FARIA;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
ANNE NEIRY DE MENDONCA LOPES;ANNE NEIRY DE MENDONCA LOPES;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
ANTÓNIO JOÃO CARVALHO DE ALBUQUERQUE;ANTÓNIO JOÃO CARVALHO DE ALBUQUERQUE;DOCENTE;DOCENTE_NAO_PRIMEIRO
ANTONIO MARCELINO DA SILVA FILHO;ANTONIO MARCELINO DA SILVA FILHO;EGRESSO;EGRESSO
ANTONIO PADILHA LANARI BO;ANTONIO PADILHA LANARI BO;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
ANTONIO PAULO COIMBRA;ANTONIO PAULO COIMBRA;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
ANTOVER PANAZZOLO SARMENTO;ANTOVER PANAZZOLO SARMENTO;DOCENTE;DOCENTE_NAO_PRIMEIRO
ARISTEU DA SILVEIRA NETO;ARISTEU DA SILVEIRA NETO;DOCENTE;DOCENTE_PRIMEIRO_AUTOR
ARMANDO DE AZEVEDO CALDEIRA PIRES;ARMANDO DE AZEVEDO CALDEIRA PIRES;DOCENTE;DOCENTE_PRIMEIRO_AUTOR
ARTHUR MONTEIRO FILHO;ARTHUR MONTEIRO FILHO;EGRESSO;EGRESSO
ARTUR HENRIQUE BRANDÃO DE SOUZA;ARTUR HENRIQUE BRANDÃO DE SOUZA;NÃO INFORMADO;NAO_INFORMADO
AYLTON JOSE ALVES;AYLTON JOSE ALVES;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
BARBARA GOMES MARTINS;BARBARA GOMES MARTINS;EGRESSO;EGRESSO
BARRIE CHARLES MECROW;BARRIE CHARLES MECROW;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
BERNARDO CRUZ PEREIRA GALDINO;BERNARDO CRUZ PEREIRA GALDINO;EGRESSO;EGRESSO
BERNARDO PINHEIRO DE ALVARENGA;BERNARDO PINHEIRO DE ALVARENGA;DOCENTE;DOCENTE_PRIMEIRO_AUTOR
BONIEK GONTIJO VAZ;BONIEK GONTIJO VAZ;DOCENTE;DOCENTE_PRIMEIRO_AUTOR
BRAYAN STIVEN FIGUEROA BETANCOURTH;BRAYAN STIVEN FIGUEROA BETANCOURTH;DISCENTE;DISCENTE
BRENDA VIEIRA COSTA FONTES;BRENDA VIEIRA COSTA FONTES;EGRESSO;EGRESSO
BRIAN R MACE;BRIAN R MACE;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
BRUNA FIORAMONTE SILVA;BRUNA FIORAMONTE SILVA;DISCENTE;DISCENTE
BRUNO MASSICOTTE;BRUNO MASSICOTTE;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
BRUNO SANTANNA CHAVES;BRUNO SANTANNA CHAVES;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
BRUNO TUNES DE MELLO;BRUNO TUNES DE MELLO;DISCENTE;DISCENTE
CAINA BEMFICA DE BARROS;CAINA BEMFICA DE BARROS;DISCENTE;DISCENTE
CAIO MISSIAGGIA MORAES;CAIO MISSIAGGIA MORAES;DISCENTE;DISCENTE
CAMILA DE LIMA RIBEIRO;CAMILA DE LIMA RIBEIRO;PÓS-DOC;POS_DOC
CAMILA DE OLIVEIRA VIEIRA;CAMILA DE OLIVEIRA VIEIRA;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
CARLOS ALBERTO BOMFIM SILVA;CARLOS ALBERTO BOMFIM SILVA;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
CARLOS AUGUSTO GRABOIS GADELHA;CARLOS AUGUSTO GRABOIS GADELHA;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
CARLOS HUMBERTO LLANOS QUINTERO;CARLOS HUMBERTO LLANOS QUINTERO;DOCENTE;DOCENTE_NAO_PRIMEIRO
CARLOS LEANDRO BORGES DA SILVA;CARLOS LEANDRO BORGES DA SILVA;DISCENTE;DISCENTE
CARLOS ROSANO PENÃ;CARLOS ROSANO PENÃ;NÃO INFORMADO;NAO_INFORMADO
CARLOS ROSANO PEÑA;CARLOS ROSANO PEÑA;NÃO INFORMADO;NAO_INFORMADO
CAUE ALVES MARTINS;CAUE ALVES MARTINS;DOCENTE;DOCENTE_PRIMEIRO_AUTOR
CHRISTIAN CIPRIANI;CHRISTIAN CIPRIANI;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
CHRISTINA PACHECO SANTOS MARTIN;CHRISTINA PACHECO SANTOS MARTIN;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
CHRISTOPHER MILLETT;CHRISTOPHER MILLETT;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
CLAUDIO GABRIEL LIMA JUNIOR;CLAUDIO GABRIEL LIMA JUNIOR;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
CLEIRTON ANDRE SILVA DE FREITAS;CLEIRTON ANDRE SILVA DE FREITAS;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
CLEITON RODRIGUES SIQUEIRA FILHO;CLEITON RODRIGUES SIQUEIRA FILHO;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
CLOVES GONCALVES RODRIGUES;CLOVES GONCALVES RODRIGUES;DOCENTE;DOCENTE_PRIMEIRO_AUTOR
CLOVIS NEUMANN;CLOVIS NEUMANN;DOCENTE;DOCENTE_NAO_PRIMEIRO
COSME ROBERTO MOREIRA DA SILVA;COSME ROBERTO MOREIRA DA SILVA;PARTICIPANTE EXTERNO;DOCENTE_NAO_PRIMEIRO
CRISTHIAN IVAN RIANO JAIMES;CRISTHIAN IVAN RIANO JAIMES;EGRESSO;EGRESSO
CRISTIANO M SILVA;CRISTIANO M SILVA;NÃO INFORMADO;NAO_INFORMADO
DAFNIS BARSANULFA VIEIRA GUIMARAES;DAFNIS BARSANULFA VIEIRA GUIMARAES;EGRESSO;EGRESSO
DANIEL BECKER;DANIEL BECKER;NÃO INFORMADO;NAO_INFORMADO
DANIEL DE LIMA ARAUJO;DANIEL DE LIMA ARAUJO;PARTICIPANTE EXTERNO;DOCENTE_PRIMEIRO_AUTOR
DANIEL DORNELLAS ATHAYDE;DANIEL DORNELLAS ATHAYDE;PÓS-DOC;POS_DOC
DANIEL F SCALABRINI MACHADO;DANIEL F SCALABRINI MACHADO;NÃO INFORMADO;NAO_INFORMADO
DANIEL FONSECA DE CARVALHO;DANIEL FONSECA DE CARVALHO;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
DANIEL L GUIDONI;DANIEL L GUIDONI;NÃO INFORMADO;NAO_INFORMADO
DANIEL MAURICIO MUNOZ ARBOLEDA;DANIEL MAURICIO MUNOZ ARBOLEDA;DOCENTE;DOCENTE_PRIMEIRO_AUTOR
DANIEL SOUZA;DANIEL SOUZA;DOCENTE;DOCENTE_PRIMEIRO_AUTOR
DANILO BELI;DANILO BELI;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
DARIANE GOMES ROCHA;DARIANE GOMES ROCHA;DISCENTE;DISCENTE
DEBORA DE LIMA BRAGA;DEBORA DE LIMA BRAGA;EGRESSO;EGRESSO
DEMETRIO ANTONIO DA SILVA FILHO;DEMETRIO ANTONIO DA SILVA FILHO;DOCENTE;DOCENTE_PRIMEIRO_AUTOR
DENISE LEYI LI;DENISE LEYI LI;NÃO INFORMADO;NAO_INFORMADO
DIEGO TOLOTTI DE ALMEIDA;DIEGO TOLOTTI DE ALMEIDA;NÃO INFORMADO;NAO_INFORMADO
DIMITRIOS CHRONOPOULOS;DIMITRIOS CHRONOPOULOS;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
DORIVAL DE MORAES PEDROSO;DORIVAL DE MORAES PEDROSO;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
DRYADE FERREIRA DE PAULA;DRYADE FERREIRA DE PAULA;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
DYRNEY ARAUJO DOS SANTOS;DYRNEY ARAUJO DOS SANTOS;DOCENTE;DOCENTE_PRIMEIRO_AUTOR
EDEMILSON CARDOSO DA CONCEICAO;EDEMILSON CARDOSO DA CONCEICAO;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
EDER C G SANTOS;EDER C G SANTOS;NÃO INFORMADO;NAO_INFORMADO
EDER LEONARDO DO REGO NASCIMENTO;EDER LEONARDO DO REGO NASCIMENTO;DISCENTE;DISCENTE
EDER LIMA DE ALBUQUERQUE;EDER LIMA DE ALBUQUERQUE;DOCENTE;DOCENTE_PRIMEIRO_AUTOR
EDGAR AMARAL SILVEIRA;EDGAR AMARAL SILVEIRA;DOCENTE;DOCENTE_PRIMEIRO_AUTOR
EDGAR NOBUO MAMIYA;EDGAR NOBUO MAMIYA;DOCENTE;DOCENTE_NAO_PRIMEIRO
EDILAINE GONCALVES COSTA DE FARIA;EDILAINE GONCALVES COSTA DE FARIA;DISCENTE;DISCENTE
EDILENE MUNIZ DE OLIVEIRA;EDILENE MUNIZ DE OLIVEIRA;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
EDISON PIGNATON DE FREITAS;EDISON PIGNATON DE FREITAS;NÃO INFORMADO;NAO_INFORMADO
EDITH ARYEL DE MESQUITA MOURA;EDITH ARYEL DE MESQUITA MOURA;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
EDNA LUCIA FLORES;EDNA LUCIA FLORES;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
EDSON ANTONIO BATISTA;EDSON ANTONIO BATISTA;DOCENTE;DOCENTE_NAO_PRIMEIRO
