Id;Label;Tipo;CategoriaNo
ABDUR RAHIM;ABDUR RAHIM;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
ADEJARDO FRANCISCO DA SILVA FILHO;ADEJARDO FRANCISCO DA SILVA FILHO;DOCENTE;DOCENTE_NAO_PRIMEIRO
ADONAY RODRIGUES LOIOLA;ADONAY RODRIGUES LOIOLA;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
ADRIANA FONTES;ADRIANA FONTES;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
ADRIANA SANTOS RIBEIRO;ADRIANA SANTOS RIBEIRO;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
AKWASI A BOATENG;AKWASI A BOATENG;NÃO INFORMADO;NAO_INFORMADO
ALAN SILVA DE MENEZES;ALAN SILVA DE MENEZES;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
ALBERTO JORGE OLIVEIRA LOPES;ALBERTO JORGE OLIVEIRA LOPES;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
ALBERTO MASAYOSHI FARIA OHASHI;ALBERTO MASAYOSHI FARIA OHASHI;DOCENTE;DOCENTE_NAO_PRIMEIRO
ALCIDES DE OLIVEIRA WANDERLEY NETO;ALCIDES DE OLIVEIRA WANDERLEY NETO;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
ALCIDES NOBREGA SIAL;ALCIDES NOBREGA SIAL;DOCENTE;DOCENTE_NAO_PRIMEIRO
ALDILENE DA SILVA LIMA;ALDILENE DA SILVA LIMA;PÓS-DOC;POS_DOC
ALEJANDRA KANDUS;ALEJANDRA KANDUS;DOCENTE;DOCENTE_PRIMEIRO_AUTOR
ALEJANDRO EUSEBIO ROJAS NUNEZ;ALEJANDRO EUSEBIO ROJAS NUNEZ;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
ALEX ALISSON BANDEIRA SANTOS;ALEX ALISSON BANDEIRA SANTOS;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
ALEX SANDER RODRIGUES CANGUSSU;ALEX SANDER RODRIGUES CANGUSSU;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
ALEXANDER KURT JOSEF SACHSE;ALEXANDER KURT JOSEF SACHSE;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
ALEXANDER WILHELM ARMIN KELLNER;ALEXANDER WILHELM ARMIN KELLNER;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
ALEXANDRA MARTINS DOS SANTOS SOARES;ALEXANDRA MARTINS DOS SANTOS SOARES;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
ALEXANDRE ROQUE DA SILVA;ALEXANDRE ROQUE DA SILVA;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
ALEXANDRE SANTOS PIMENTA;ALEXANDRE SANTOS PIMENTA;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
ALEXANDRO V ARROYO;ALEXANDRO V ARROYO;NÃO INFORMADO;NAO_INFORMADO
ALEXSANDER A DE MELO;ALEXSANDER A DE MELO;NÃO INFORMADO;NAO_INFORMADO
ALEXSANDER DE MELO;ALEXSANDER DE MELO;NÃO INFORMADO;NAO_INFORMADO
ALINE OLIVEIRA DA SILVA DE BARROS;ALINE OLIVEIRA DA SILVA DE BARROS;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
ALINE SCARAMUZZA AQUINO;ALINE SCARAMUZZA AQUINO;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
ALLAN KARDEC DE ALMEIDA JUNIOR;ALLAN KARDEC DE ALMEIDA JUNIOR;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
ALLEN ROOSSIM PASSOS IBIAPINA;ALLEN ROOSSIM PASSOS IBIAPINA;DISCENTE;DISCENTE
ALLYSSON PONTES PINHEIRO;ALLYSSON PONTES PINHEIRO;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
ALUISIO MARQUES DA FONSECA;ALUISIO MARQUES DA FONSECA;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
ALYNE ARAUJO;ALYNE ARAUJO;NÃO INFORMADO;NAO_INFORMADO
AMANDA DUARTE GONDIM;AMANDA DUARTE GONDIM;DOCENTE;DOCENTE_PRIMEIRO_AUTOR
AMANDA SILVA DOS SANTOS ALIANCA;AMANDA SILVA DOS SANTOS ALIANCA;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
ANA BORREGO SÁNCHEZ;ANA BORREGO SÁNCHEZ;NÃO INFORMADO;NAO_INFORMADO
ANA CAROLINA MENGARDA;ANA CAROLINA MENGARDA;NÃO INFORMADO;NAO_INFORMADO
ANA CLECIA SANTOS DE ALCANTARA;ANA CLECIA SANTOS DE ALCANTARA;DOCENTE;DOCENTE_PRIMEIRO_AUTOR
ANA LUCIA DANTAS;ANA LUCIA DANTAS;DOCENTE;DOCENTE_PRIMEIRO_AUTOR
ANA PATRICIA FONTES MAGALHAES MASCARENHAS;ANA PATRICIA FONTES MAGALHAES MASCARENHAS;DOCENTE;DOCENTE_PRIMEIRO_AUTOR
ANA PAULA SILVEIRA PAIM;ANA PAULA SILVEIRA PAIM;DOCENTE;DOCENTE_PRIMEIRO_AUTOR
ANA RITA DE ARAUJO NOGUEIRA;ANA RITA DE ARAUJO NOGUEIRA;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
