Id;Label;Tipo;CategoriaNo
A SILVA;A SILVA;NÃO INFORMADO;NAO_INFORMADO
A SILVA MACEDO;A SILVA MACEDO;NÃO INFORMADO;NAO_INFORMADO
ADIEL TEIXEIRA DE ALMEIDA;ADIEL TEIXEIRA DE ALMEIDA;DOCENTE;DOCENTE_NAO_PRIMEIRO
ADRIANO DA SILVA MARQUES;ADRIANO DA SILVA MARQUES;DOCENTE;DOCENTE_NAO_PRIMEIRO
AFONSO AVELINO DANTAS NETO;AFONSO AVELINO DANTAS NETO;DOCENTE;DOCENTE_NAO_PRIMEIRO
ALBERTO CASADO LORDSLEEM JUNIOR;ALBERTO CASADO LORDSLEEM JUNIOR;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
ALCILIA AFONSO DE ALBUQUERQUE E MELO;ALCILIA AFONSO DE ALBUQUERQUE E MELO;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
ALESSANDRO ALBERTO CASAZZA;ALESSANDRO ALBERTO CASAZZA;NÃO INFORMADO;NAO_INFORMADO
ALEX COSTA DA SILVA;ALEX COSTA DA SILVA;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
ALEXANDRE AUGUSTO PAREDES SELVA FILHO;ALEXANDRE AUGUSTO PAREDES SELVA FILHO;EGRESSO;EGRESSO
ALEXANDRE D LAMARE MAIA DE MEDEIROS;ALEXANDRE D LAMARE MAIA DE MEDEIROS;EGRESSO;EGRESSO
ALEXANDRE DE SOUZA JUNIOR;ALEXANDRE DE SOUZA JUNIOR;EGRESSO;EGRESSO
ALEXANDRE RAMALHO ALBERTI;ALEXANDRE RAMALHO ALBERTI;EGRESSO;DOCENTE_NAO_PRIMEIRO
ALEXSANDRO DOS SANTOS;ALEXSANDRO DOS SANTOS;NÃO INFORMADO;NAO_INFORMADO
ALICE ARAÚJO;ALICE ARAÚJO;NÃO INFORMADO;NAO_INFORMADO
ALICIA MARIA ANDRADE TORRES JARA;ALICIA MARIA ANDRADE TORRES JARA;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
ALIEL F RIENTE;ALIEL F RIENTE;NÃO INFORMADO;NAO_INFORMADO
ALINE DA SILVA RAMOS BARBOZA;ALINE DA SILVA RAMOS BARBOZA;DOCENTE;DOCENTE_PRIMEIRO_AUTOR
ALIRIO EGIDIO RODRIGUES;ALIRIO EGIDIO RODRIGUES;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
ALVARO SILVA LIMA;ALVARO SILVA LIMA;DOCENTE;DOCENTE_NAO_PRIMEIRO
AMANDA DUARTE GONDIM;AMANDA DUARTE GONDIM;DOCENTE;DOCENTE_PRIMEIRO_AUTOR
ANA CECILIA VIEIRA DA NOBREGA;ANA CECILIA VIEIRA DA NOBREGA;DOCENTE;DOCENTE_PRIMEIRO_AUTOR
ANA DOLORES SANTIAGO DE FREITAS;ANA DOLORES SANTIAGO DE FREITAS;DOCENTE;DOCENTE_PRIMEIRO_AUTOR
ANA IRAIDY SANTA BRIGIDA;ANA IRAIDY SANTA BRIGIDA;DOCENTE;DOCENTE_PRIMEIRO_AUTOR
ANA LISA GOMES;ANA LISA GOMES;NÃO INFORMADO;NAO_INFORMADO
ANA MARIA MENDONCA DE ALBUQUERQUE MELO;ANA MARIA MENDONCA DE ALBUQUERQUE MELO;DOCENTE;DOCENTE_PRIMEIRO_AUTOR
ANDERSON LUIZ RIBEIRO DE PAIVA;ANDERSON LUIZ RIBEIRO DE PAIVA;DOCENTE;DOCENTE_NAO_PRIMEIRO
ANDRE QUINTAO DE ALMEIDA;ANDRE QUINTAO DE ALMEIDA;DOCENTE;DOCENTE_NAO_PRIMEIRO
ANDREA CARLA LIMA RODRIGUES;ANDREA CARLA LIMA RODRIGUES;DOCENTE;DOCENTE_PRIMEIRO_AUTOR
ANDREA FERNANDA DE SANTANA COSTA;ANDREA FERNANDA DE SANTANA COSTA;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
ANDREA N ARIAS;ANDREA N ARIAS;NÃO INFORMADO;NAO_INFORMADO
ANDRESSA RADISKE;ANDRESSA RADISKE;PARTICIPANTE EXTERNO;DOCENTE_PRIMEIRO_AUTOR
ANNA LUCIA MIRANDA COSTA;ANNA LUCIA MIRANDA COSTA;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
ANTONIO PAULO AMANCIO FERRO;ANTONIO PAULO AMANCIO FERRO;DISCENTE;DISCENTE
ANY CAROLINE LACERDA DE REZENDE;ANY CAROLINE LACERDA DE REZENDE;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
ARIANE DA SILVA CARDOSO;ARIANE DA SILVA CARDOSO;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
ARNALDO CARNEIRO;ARNALDO CARNEIRO;NÃO INFORMADO;NAO_INFORMADO
ARNALDO MANOEL PEREIRA CARNEIRO;ARNALDO MANOEL PEREIRA CARNEIRO;PARTICIPANTE EXTERNO;DOCENTE_NAO_PRIMEIRO
ATTILIO CONVERTI;ATTILIO CONVERTI;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
BAHAR ALIAKBARIAN;BAHAR ALIAKBARIAN;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
BARBARA VIRGINIA PEREIRA CAVALCANTI;BARBARA VIRGINIA PEREIRA CAVALCANTI;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
BEATRIZ GALDINO RIBEIRO;BEATRIZ GALDINO RIBEIRO;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
BENEVIDES COSTA PESSELA;BENEVIDES COSTA PESSELA;NÃO INFORMADO;NAO_INFORMADO
BERNARDO D RIBEIRO;BERNARDO D RIBEIRO;NÃO INFORMADO;NAO_INFORMADO
