Id;Label;Tipo;CategoriaNo
ABBAS MOAMENI;ABBAS MOAMENI;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
ABDENAGO ALVES DE BARROS;ABDENAGO ALVES DE BARROS;PARTICIPANTE EXTERNO;DOCENTE_PRIMEIRO_AUTOR
ABEL PEREIRA DE MACEDO BORGES JUNIOR;ABEL PEREIRA DE MACEDO BORGES JUNIOR;EGRESSO;EGRESSO
ABIEL COSTA MACEDO;ABIEL COSTA MACEDO;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
ABRAAO DAVID COSTA DO NASCIMENTO;ABRAAO DAVID COSTA DO NASCIMENTO;DOCENTE;DOCENTE_PRIMEIRO_AUTOR
ABSOS ALI SHAIKH;ABSOS ALI SHAIKH;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
ACACIO SILVEIRA DE MELO;ACACIO SILVEIRA DE MELO;EGRESSO;EGRESSO
ADALENE MOREIRA SILVA;ADALENE MOREIRA SILVA;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
ADALTO RODRIGUES GOMES;ADALTO RODRIGUES GOMES;DOCENTE;DOCENTE_NAO_PRIMEIRO
ADÁN JOSE CORCHO FERNÁNDEZ;ADÁN JOSE CORCHO FERNÁNDEZ;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
ADEJARDO FRANCISCO DA SILVA FILHO;ADEJARDO FRANCISCO DA SILVA FILHO;DOCENTE;DOCENTE_PRIMEIRO_AUTOR
ADELCIO CARLOS DE OLIVEIRA;ADELCIO CARLOS DE OLIVEIRA;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
ADEMIR BENTEUS PAMPU;ADEMIR BENTEUS PAMPU;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
ADENICE GOMES DE OLIVEIRA FERREIRA;ADENICE GOMES DE OLIVEIRA FERREIRA;EGRESSO;EGRESSO
ADENILTON JOSE DA SILVA;ADENILTON JOSE DA SILVA;DOCENTE;DOCENTE_PRIMEIRO_AUTOR
ADERSON FARIAS DO NASCIMENTO;ADERSON FARIAS DO NASCIMENTO;DOCENTE;DOCENTE_PRIMEIRO_AUTOR
ADILMO FRANCISCO DE LIMA;ADILMO FRANCISCO DE LIMA;DOCENTE;DOCENTE_PRIMEIRO_AUTOR
ADILSON KENJI KOBAYASHI;ADILSON KENJI KOBAYASHI;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
ADILSON LUIS PEREIRA SILVA;ADILSON LUIS PEREIRA SILVA;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
ADNEI WILLIAN DONATTI;ADNEI WILLIAN DONATTI;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
