Id;Label;Tipo;CategoriaNo
ABBAS RAHDAR;ABBAS RAHDAR;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
ADEMIR DE JESUS AMARAL;ADEMIR DE JESUS AMARAL;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
ADETOYE AYOKUNLE ARIBISALA;ADETOYE AYOKUNLE ARIBISALA;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
ADIEL TEIXEIRA DE ALMEIDA;ADIEL TEIXEIRA DE ALMEIDA;PARTICIPANTE EXTERNO;DOCENTE_PRIMEIRO_AUTOR
ADNIVIA SANTOS COSTA MONTEIRO;ADNIVIA SANTOS COSTA MONTEIRO;DOCENTE;DOCENTE_NAO_PRIMEIRO
ADONAY RODRIGUES LOIOLA;ADONAY RODRIGUES LOIOLA;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
ADONIAS MAGDIEL SILVA FERREIRA;ADONIAS MAGDIEL SILVA FERREIRA;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
ADRIANO ELISIO DE FIGUEIREDO LOPES LUCENA;ADRIANO ELISIO DE FIGUEIREDO LOPES LUCENA;DOCENTE;DOCENTE_PRIMEIRO_AUTOR
AFONSO AVELINO DANTAS NETO;AFONSO AVELINO DANTAS NETO;DOCENTE;DOCENTE_PRIMEIRO_AUTOR
ALBANISE BARBOSA MARINHO;ALBANISE BARBOSA MARINHO;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
ALBERTO WISNIEWSKI JUNIOR;ALBERTO WISNIEWSKI JUNIOR;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
ALCEU PEDROTTI;ALCEU PEDROTTI;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
ALCIDES DE OLIVEIRA WANDERLEY NETO;ALCIDES DE OLIVEIRA WANDERLEY NETO;DOCENTE;DOCENTE_PRIMEIRO_AUTOR
ALDECI FRANCA ARAUJO DOS SANTOS;ALDECI FRANCA ARAUJO DOS SANTOS;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
ALDO TORRES SALES;ALDO TORRES SALES;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
ALEJANDRO EUSEBIO ROJAS NUNEZ;ALEJANDRO EUSEBIO ROJAS NUNEZ;DOCENTE;DOCENTE_PRIMEIRO_AUTOR
ALESSANDRO RODRIGUES DE AMORIM;ALESSANDRO RODRIGUES DE AMORIM;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
ALESSANDRO ROMARIO ECHEVARRIA ANTUNES;ALESSANDRO ROMARIO ECHEVARRIA ANTUNES;DOCENTE;DOCENTE_NAO_PRIMEIRO
ALEX FERREIRA DOS SANTOS;ALEX FERREIRA DOS SANTOS;EGRESSO;EGRESSO
ALEX SOUZA MORAES;ALEX SOUZA MORAES;DOCENTE;DOCENTE_PRIMEIRO_AUTOR
ALEXANDER KEELER;ALEXANDER KEELER;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
ALEXANDER V NEIMARK;ALEXANDER V NEIMARK;NÃO INFORMADO;NAO_INFORMADO
ALEXANDRE CUNHA COSTA;ALEXANDRE CUNHA COSTA;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
ALEXANDRE DUARTE GUSMAO;ALEXANDRE DUARTE GUSMAO;DOCENTE;DOCENTE_NAO_PRIMEIRO
ALEXANDRE HUGO CEZAR BARROS;ALEXANDRE HUGO CEZAR BARROS;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
ALEXANDRE MOREIRA;ALEXANDRE MOREIRA;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
ALEXANDRE RAMALHO ALBERTI;ALEXANDRE RAMALHO ALBERTI;EGRESSO;DOCENTE_PRIMEIRO_AUTOR
ALEXANDRE RICARDO PEREIRA SCHULER;ALEXANDRE RICARDO PEREIRA SCHULER;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
