Id;Label;Tipo;CategoriaNo
ANGSULA GHOSH;ANGSULA GHOSH;DOCENTE;DOCENTE_PRIMEIRO_AUTOR
ARTUR LUIZ DA COSTA DA SILVA;ARTUR LUIZ DA COSTA DA SILVA;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
CAMILA CRISTINA DE FOGGI;CAMILA CRISTINA DE FOGGI;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
CARLOS EDUARDO SOUTO DE OLIVEIRA;CARLOS EDUARDO SOUTO DE OLIVEIRA;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
CARLOS FABIO DE OLIVEIRA MENDES;CARLOS FABIO DE OLIVEIRA MENDES;EGRESSO;EGRESSO
CASSIO MACEDO MACIEL;CASSIO MACEDO MACIEL;DISCENTE;DISCENTE
DARCICLEA FERREIRA SANTOS;DARCICLEA FERREIRA SANTOS;DOCENTE;DOCENTE_PRIMEIRO_AUTOR
ELSON LONGO DA SILVA;ELSON LONGO DA SILVA;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
GELSON CONCEICAO GONCALVES DOS SANTOS;GELSON CONCEICAO GONCALVES DOS SANTOS;DOCENTE;DOCENTE_NAO_PRIMEIRO
GLEICE LORENA GONCALVES TAVARES BOTELHO;GLEICE LORENA GONCALVES TAVARES BOTELHO;DOCENTE;DOCENTE_PRIMEIRO_AUTOR
GRASIELE SOARES CAVALLINI;GRASIELE SOARES CAVALLINI;DOCENTE;DOCENTE_PRIMEIRO_AUTOR
HORACIO SCHNEIDER;HORACIO SCHNEIDER;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
IZENI PIRES FARIAS;IZENI PIRES FARIAS;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
JEAN PHILIPPE BOUBLI;JEAN PHILIPPE BOUBLI;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
JEFERSON COSTA CARNEIRO;JEFERSON COSTA CARNEIRO;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
JOAO BATISTA CORREA DA SILVA;JOAO BATISTA CORREA DA SILVA;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
JOZINEI FERREIRA LOPES;JOZINEI FERREIRA LOPES;EGRESSO;EGRESSO
LAILA CONCEICAO FONTINELE;LAILA CONCEICAO FONTINELE;EGRESSO;EGRESSO
LUIZ ALBERTO OLIVEIRA ROCHA;LUIZ ALBERTO OLIVEIRA ROCHA;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
MARCUS WERNER BEIMS;MARCUS WERNER BEIMS;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
MARIA IRACILDA DA CUNHA SAMPAIO;MARIA IRACILDA DA CUNHA SAMPAIO;DOCENTE;DOCENTE_PRIMEIRO_AUTOR
MIRCEA DANIEL GALICEANU;MIRCEA DANIEL GALICEANU;DOCENTE;DOCENTE_PRIMEIRO_AUTOR
PUSPITAPALLAB CHAUDHURI;PUSPITAPALLAB CHAUDHURI;DOCENTE;DOCENTE_NAO_PRIMEIRO
RICARDO KAMINISHI DOS SANTOS JUNIOR;RICARDO KAMINISHI DOS SANTOS JUNIOR;EGRESSO;EGRESSO
RICHARD CARL VOGT;RICHARD CARL VOGT;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
RODRIGO RIBEIRO FIDELIS;RODRIGO RIBEIRO FIDELIS;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
ROGERIO VIEIRA ROSSI;ROGERIO VIEIRA ROSSI;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
RUBIA GONCALVES NASCIMENTO;RUBIA GONCALVES NASCIMENTO;DOCENTE;DOCENTE_PRIMEIRO_AUTOR
SERGIO RICARDO FLOETER;SERGIO RICARDO FLOETER;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
SIMONI SANTOS DA SILVA;SIMONI SANTOS DA SILVA;DOCENTE;DOCENTE_PRIMEIRO_AUTOR
SUELLEN CRISTINA QUEIROZ ARRUDA;SUELLEN CRISTINA QUEIROZ ARRUDA;EGRESSO;EGRESSO
TOMAS HRBEK;TOMAS HRBEK;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
WYLLAMANNEY DA SILVA PEREIRA;WYLLAMANNEY DA SILVA PEREIRA;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
YRLENE DO SOCORRO SILVA FERREIRA;YRLENE DO SOCORRO SILVA FERREIRA;EGRESSO;EGRESSO
