Id;Label;Tipo;CategoriaNo
ABDELAZIZ SOUFYANE;ABDELAZIZ SOUFYANE;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
ACRISIO LINS DE AGUIAR;ACRISIO LINS DE AGUIAR;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
ADRIAN VINICIUS CASTRO RIBEIRO;ADRIAN VINICIUS CASTRO RIBEIRO;EGRESSO;EGRESSO
AFILAL MOUNIR;AFILAL MOUNIR;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
AHMET OZKAN OZER;AHMET OZKAN OZER;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
ALBERTO LEANDRO CORREIA COSTA;ALBERTO LEANDRO CORREIA COSTA;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
ALDEMIR BRANCO DE OLIVEIRA FILHO;ALDEMIR BRANCO DE OLIVEIRA FILHO;DOCENTE;DOCENTE_PRIMEIRO_AUTOR
ALEXANDRE MIRA POMBO;ALEXANDRE MIRA POMBO;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
ALFONSO SAN MIGUEL;ALFONSO SAN MIGUEL;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
ALI ARMAN;ALI ARMAN;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
ALLAN PAULO MOREIRA DOS SANTOS;ALLAN PAULO MOREIRA DOS SANTOS;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
ANA LUISA FARIAS ROCHA;ANA LUISA FARIAS ROCHA;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
ANDERSON DAVID DE SOUZA CAMPELO;ANDERSON DAVID DE SOUZA CAMPELO;EGRESSO;DOCENTE_PRIMEIRO_AUTOR
ANDERSON DE JESUS ARAUJO RAMOS;ANDERSON DE JESUS ARAUJO RAMOS;PARTICIPANTE EXTERNO;DOCENTE_PRIMEIRO_AUTOR
ANDERSON LUIS ALBUQUERQUE DE ARAUJO;ANDERSON LUIS ALBUQUERQUE DE ARAUJO;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
ANDERSON MATHIAS PEREIRA;ANDERSON MATHIAS PEREIRA;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
ANDRÉ VICENTE;ANDRÉ VICENTE;NÃO INFORMADO;NAO_INFORMADO
ANDREY MOACIR DO ROSARIO MARINHO;ANDREY MOACIR DO ROSARIO MARINHO;DOCENTE;DOCENTE_PRIMEIRO_AUTOR
ANETA MAGDALENA WOJNAR;ANETA MAGDALENA WOJNAR;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
ANGSULA GHOSH;ANGSULA GHOSH;DOCENTE;DOCENTE_NAO_PRIMEIRO
ANTONIO CARLOS ROSARIO VALLINOTO;ANTONIO CARLOS ROSARIO VALLINOTO;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
ANTONIO GOMES DE SOUZA FILHO;ANTONIO GOMES DE SOUZA FILHO;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
ATEFEH GHADERI;ATEFEH GHADERI;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
AUGUSTO CESAR DOS REIS COSTA;AUGUSTO CESAR DOS REIS COSTA;DOCENTE;DOCENTE_PRIMEIRO_AUTOR
AZIZOLLAH SHAFIEKHANI;AZIZOLLAH SHAFIEKHANI;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
BAO DUNG DAO;BAO DUNG DAO;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
