Id;Label;Tipo;CategoriaNo
A BURIMOVA;A BURIMOVA;NÃO INFORMADO;NAO_INFORMADO
AARAO FERREIRA LIMA NETO;AARAO FERREIRA LIMA NETO;DOCENTE;DOCENTE_NAO_PRIMEIRO
ABEL FERREIRA GOMES NETO;ABEL FERREIRA GOMES NETO;EGRESSO;EGRESSO
ADAYANA MARIA QUEIROZ DE MELO;ADAYANA MARIA QUEIROZ DE MELO;DISCENTE;DISCENTE
ADENILSON OLIVEIRA DOS SANTOS;ADENILSON OLIVEIRA DOS SANTOS;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
ADONIS FERREIRA RAIOL LEAL;ADONIS FERREIRA RAIOL LEAL;DOCENTE;DOCENTE_PRIMEIRO_AUTOR
AFONSO RANGEL GARCEZ DE AZEVEDO;AFONSO RANGEL GARCEZ DE AZEVEDO;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
ALCEBIADES NEGRAO MACEDO;ALCEBIADES NEGRAO MACEDO;DOCENTE;DOCENTE_PRIMEIRO_AUTOR
ALEX DA CUNHA CAMPOS;ALEX DA CUNHA CAMPOS;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
ALEXANDRE COTRIN DA SILVA;ALEXANDRE COTRIN DA SILVA;EGRESSO;EGRESSO
ALEXANDRE LUIZ AMARANTE MESQUITA;ALEXANDRE LUIZ AMARANTE MESQUITA;DOCENTE;DOCENTE_PRIMEIRO_AUTOR
ALLAN RA MANITO;ALLAN RA MANITO;NÃO INFORMADO;NAO_INFORMADO
AMANDA CHAVES DE AZEVEDO;AMANDA CHAVES DE AZEVEDO;DISCENTE;DISCENTE
AMANDA DE CASSIA LOBATO SOARES;AMANDA DE CASSIA LOBATO SOARES;DISCENTE;DISCENTE
AMANDA TAVARES;AMANDA TAVARES;NÃO INFORMADO;NAO_INFORMADO
AMAURI GARCIA;AMAURI GARCIA;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
AMILTON SINATORA;AMILTON SINATORA;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
