Id;Label;Tipo;CategoriaNo
A C O TRAVASSOS;A C O TRAVASSOS;NÃO INFORMADO;NAO_INFORMADO
A CORRAL;A CORRAL;NÃO INFORMADO;NAO_INFORMADO
A FALCONE;A FALCONE;NÃO INFORMADO;NAO_INFORMADO
A KIMOTO;A KIMOTO;NÃO INFORMADO;NAO_INFORMADO
A M A B MEDEIROS;A M A B MEDEIROS;NÃO INFORMADO;NAO_INFORMADO
A R VAZ;A R VAZ;NÃO INFORMADO;NAO_INFORMADO
A S BRADLEY;A S BRADLEY;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
A SÁNCHEZ;A SÁNCHEZ;NÃO INFORMADO;NAO_INFORMADO
A UTHAYAKUMAR;A UTHAYAKUMAR;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
ABDERRAHMAN IGGIDR;ABDERRAHMAN IGGIDR;NÃO INFORMADO;NAO_INFORMADO
ABDULLAH GOKYILDIRIM;ABDULLAH GOKYILDIRIM;NÃO INFORMADO;NAO_INFORMADO
ABEL GOMES DE OLIVEIRA JUNIOR;ABEL GOMES DE OLIVEIRA JUNIOR;DISCENTE;DISCENTE
ABHISHEK KUMAR;ABHISHEK KUMAR;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
ABHISHEK SHETTY;ABHISHEK SHETTY;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
ABHITOSH UPADHYAY;ABHITOSH UPADHYAY;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
ABILIO LEMOS CARDOSO JUNIOR;ABILIO LEMOS CARDOSO JUNIOR;DOCENTE;DOCENTE_PRIMEIRO_AUTOR
ABILIO PEREIRA DE LUCENA FILHO;ABILIO PEREIRA DE LUCENA FILHO;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
ABNER DE SIERVO;ABNER DE SIERVO;PARTICIPANTE EXTERNO;DOCENTE_PRIMEIRO_AUTOR
ABRAHAM CHIAN LONG CHIAN;ABRAHAM CHIAN LONG CHIAN;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
ABRAHAM HIRSZ ZIMERMAN;ABRAHAM HIRSZ ZIMERMAN;DOCENTE;DOCENTE_PRIMEIRO_AUTOR
ABRAMO HEFEZ;ABRAMO HEFEZ;DOCENTE;DOCENTE_PRIMEIRO_AUTOR
ABREUCON ATANASIO ALVES;ABREUCON ATANASIO ALVES;DISCENTE;DISCENTE
ABROR KHUDOYBERDIYEV;ABROR KHUDOYBERDIYEV;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
ACACIO RIBEIRO GOMES TOMAS;ACACIO RIBEIRO GOMES TOMAS;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
ACRISIO LINS DE AGUIAR;ACRISIO LINS DE AGUIAR;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
ADALBERTO ALVES PEREIRA FILHO;ADALBERTO ALVES PEREIRA FILHO;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
ADALBERTO FAZZIO;ADALBERTO FAZZIO;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
ADALBERTO PANOBIANCO BERGAMASCO;ADALBERTO PANOBIANCO BERGAMASCO;DOCENTE;DOCENTE_PRIMEIRO_AUTOR
ADALBERTO VASCONCELOS SANCHES DE ARAUJO;ADALBERTO VASCONCELOS SANCHES DE ARAUJO;PÓS-DOC;POS_DOC
ADALTO BIANCHINI;ADALTO BIANCHINI;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
ADAO HENRIQUE ROSA DOMINGOS;ADAO HENRIQUE ROSA DOMINGOS;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
