Id;Label;Tipo;CategoriaNo
A TOHRY;A TOHRY;NÃO INFORMADO;NAO_INFORMADO
AAYUSHI AWASTHY;AAYUSHI AWASTHY;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
ABAYOMI OLUWATOBILOBA BANKOLE;ABAYOMI OLUWATOBILOBA BANKOLE;DISCENTE;DISCENTE
ABBAS MOHAMMADI;ABBAS MOHAMMADI;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
ACHILLES JUNQUEIRA BOURDOT DUTRA;ACHILLES JUNQUEIRA BOURDOT DUTRA;DOCENTE;DOCENTE_NAO_PRIMEIRO
AD SLOVIC;AD SLOVIC;NÃO INFORMADO;NAO_INFORMADO
ADAIR ROBERTO AGUIAR;ADAIR ROBERTO AGUIAR;DOCENTE;DOCENTE_PRIMEIRO_AUTOR
ADAM HUGO REIS SOUSA;ADAM HUGO REIS SOUSA;DISCENTE;DISCENTE
ADAM SLABON;ADAM SLABON;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
ADEL FERNANDO SARMIENTO;ADEL FERNANDO SARMIENTO;NÃO INFORMADO;NAO_INFORMADO
ADELIA JUSTINA AGUIAR AQUINO;ADELIA JUSTINA AGUIAR AQUINO;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
ADEMAR BENEVOLO LUGAO;ADEMAR BENEVOLO LUGAO;DOCENTE;DOCENTE_PRIMEIRO_AUTOR
ADEMAR LOPES DA SILVA JUNIOR;ADEMAR LOPES DA SILVA JUNIOR;EGRESSO;EGRESSO
ADERVAL SEVERINO LUNA;ADERVAL SEVERINO LUNA;DOCENTE;DOCENTE_PRIMEIRO_AUTOR
ADILSON JOSE DA SILVA;ADILSON JOSE DA SILVA;DOCENTE;DOCENTE_PRIMEIRO_AUTOR
ADIMIR DOS SANTOS;ADIMIR DOS SANTOS;DOCENTE;DOCENTE_PRIMEIRO_AUTOR
ADLEY ANTONINI NEVES DE LIMA;ADLEY ANTONINI NEVES DE LIMA;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
ADMILSON IRIO RIBEIRO;ADMILSON IRIO RIBEIRO;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
ADRIANA BARRINHA FERNANDES MORETTI;ADRIANA BARRINHA FERNANDES MORETTI;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
ADRIANA BONA MATOS;ADRIANA BONA MATOS;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
ADRIANA CRISTINA CHERRI NICOLA;ADRIANA CRISTINA CHERRI NICOLA;DOCENTE;DOCENTE_NAO_PRIMEIRO
ADRIANA DE OLIVEIRA PEREIRA DOS REIS;ADRIANA DE OLIVEIRA PEREIRA DOS REIS;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
ADRIANA FERREIRA MALUF BRAGA;ADRIANA FERREIRA MALUF BRAGA;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
ADRIANA FONTES;ADRIANA FONTES;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
ADRIANA MACHADO MALAFAIA DA MATA;ADRIANA MACHADO MALAFAIA DA MATA;DISCENTE;DISCENTE
ADRIANA REGIA MARQUES DE SOUZA;ADRIANA REGIA MARQUES DE SOUZA;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
ADRIANNE ALVES DA SILVA;ADRIANNE ALVES DA SILVA;DISCENTE;DISCENTE
ADRIANO ALVES PEREIRA;ADRIANO ALVES PEREIRA;DOCENTE;DOCENTE_PRIMEIRO_AUTOR
ADRIANO BRESSANE;ADRIANO BRESSANE;DOCENTE;DOCENTE_PRIMEIRO_AUTOR
ADRIANO DE OLIVEIRA ANDRADE;ADRIANO DE OLIVEIRA ANDRADE;DOCENTE;DOCENTE_PRIMEIRO_AUTOR
ADRIANO FRANCISCO SIQUEIRA;ADRIANO FRANCISCO SIQUEIRA;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
ADRIANO GONCALVES DOS REIS;ADRIANO GONCALVES DOS REIS;DOCENTE;DOCENTE_NAO_PRIMEIRO
ADRIANO LUIZ TONETTI;ADRIANO LUIZ TONETTI;DOCENTE;DOCENTE_PRIMEIRO_AUTOR
ADRIANO MARTINS DA COSTA REZENDE;ADRIANO MARTINS DA COSTA REZENDE;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
ADRIANO PINTO MARIANO;ADRIANO PINTO MARIANO;DOCENTE;DOCENTE_PRIMEIRO_AUTOR
ADRIANO SILVA BASTOS;ADRIANO SILVA BASTOS;NÃO INFORMADO;NAO_INFORMADO
AFONSO HENRIQUES SOUZA DA COSTA E SILVA;AFONSO HENRIQUES SOUZA DA COSTA E SILVA;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
AFONSO RANGEL GARCEZ DE AZEVEDO;AFONSO RANGEL GARCEZ DE AZEVEDO;EGRESSO;DOCENTE_PRIMEIRO_AUTOR
AGDA ALINE ROCHA DE OLIVEIRA;AGDA ALINE ROCHA DE OLIVEIRA;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
AGNALDO MONTEIRO FARIAS;AGNALDO MONTEIRO FARIAS;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
AGUINALDO SILVA GARCEZ;AGUINALDO SILVA GARCEZ;EGRESSO;EGRESSO
AHMED ALHAMMAD;AHMED ALHAMMAD;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
AILTON CONDE JUSSANI;AILTON CONDE JUSSANI;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
AIRTON ABRAHAO MARTIN;AIRTON ABRAHAO MARTIN;DOCENTE;DOCENTE_NAO_PRIMEIRO
AIRTON MARTINS SILVA;AIRTON MARTINS SILVA;EGRESSO;EGRESSO
AIXIA SUN;AIXIA SUN;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
ALAN BOURSCHEIDT SEITENFUSS;ALAN BOURSCHEIDT SEITENFUSS;DISCENTE;DISCENTE
ALAN CONCI KUBRUSLY;ALAN CONCI KUBRUSLY;DOCENTE;DOCENTE_PRIMEIRO_AUTOR
ALAN KARDEK REGO SEGUNDO;ALAN KARDEK REGO SEGUNDO;DOCENTE;DOCENTE_PRIMEIRO_AUTOR
ALAN MENEZES DO NASCIMENTO;ALAN MENEZES DO NASCIMENTO;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
ALAN REIS;ALAN REIS;DISCENTE;DISCENTE
ALAN RODRIGUES TEIXEIRA MACHADO;ALAN RODRIGUES TEIXEIRA MACHADO;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
ALANA LIMA VIEIRA;ALANA LIMA VIEIRA;DISCENTE;DISCENTE
ALANA XAVIER BATISTA;ALANA XAVIER BATISTA;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
ALBA FONT;ALBA FONT;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
ALBERT RATNER;ALBERT RATNER;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
ALBERTO DE FREITAS CASTRO FONSECA;ALBERTO DE FREITAS CASTRO FONSECA;DOCENTE;DOCENTE_PRIMEIRO_AUTOR
ALBERTO DE SAMPAIO FERRAZ JARDIM SAYAO;ALBERTO DE SAMPAIO FERRAZ JARDIM SAYAO;DOCENTE;DOCENTE_PRIMEIRO_AUTOR
ALBERTO LEANDRO LIMA;ALBERTO LEANDRO LIMA;NÃO INFORMADO;NAO_INFORMADO
ALBERTO LUIZ FRANCATO;ALBERTO LUIZ FRANCATO;DOCENTE;DOCENTE_PRIMEIRO_AUTOR
ALBERTO MOREIRA JORGE JUNIOR;ALBERTO MOREIRA JORGE JUNIOR;DOCENTE;DOCENTE_NAO_PRIMEIRO
ALBERTO RESENDE DE CONTI;ALBERTO RESENDE DE CONTI;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
ALBERTO TANNUS;ALBERTO TANNUS;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
ALDRIN GUSTAVO MARTINS;ALDRIN GUSTAVO MARTINS;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
ALEJANDRO GOMEZ;ALEJANDRO GOMEZ;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
ALEKSANDER DA CONCEICAO SILVA;ALEKSANDER DA CONCEICAO SILVA;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
ALEKSANDR KOROLEV;ALEKSANDR KOROLEV;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
ALEKSEY EVGENYEVICH KUZNETSOV;ALEKSEY EVGENYEVICH KUZNETSOV;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
ALESSANDRA BAPTISTA;ALESSANDRA BAPTISTA;DOCENTE;DOCENTE_NAO_PRIMEIRO
