Id;Label;Tipo;CategoriaNo
A G ISTRATE;A G ISTRATE;NÃO INFORMADO;NAO_INFORMADO
ADILSON BEN DA COSTA;ADILSON BEN DA COSTA;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
ADRIANA CASTRO PINHEIRO;ADRIANA CASTRO PINHEIRO;DOCENTE;DOCENTE_PRIMEIRO_AUTOR
ADRIANA NEUMANN DE OLIVEIRA;ADRIANA NEUMANN DE OLIVEIRA;DOCENTE;DOCENTE_PRIMEIRO_AUTOR
ADRIEL GUSTAVO BARTZ MOCELLIN;ADRIEL GUSTAVO BARTZ MOCELLIN;EGRESSO;EGRESSO
AGUEDA MARIA TURATTI;AGUEDA MARIA TURATTI;DOCENTE;DOCENTE_PRIMEIRO_AUTOR
AILIN RUIZ DE ZARATE FABREGAS;AILIN RUIZ DE ZARATE FABREGAS;DOCENTE;DOCENTE_PRIMEIRO_AUTOR
ALEJANDRA DANIELA ROMERO;ALEJANDRA DANIELA ROMERO;DOCENTE;DOCENTE_PRIMEIRO_AUTOR
ALESSANDRA DE SOUZA BARBOSA;ALESSANDRA DE SOUZA BARBOSA;DOCENTE;DOCENTE_PRIMEIRO_AUTOR
ALESSANDRO FABRICIO GARCIA;ALESSANDRO FABRICIO GARCIA;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
ALEX FABIANI CLARO FLORES;ALEX FABIANI CLARO FLORES;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
ALINE LIMA HERMES MULLER;ALINE LIMA HERMES MULLER;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
ANA LUCIA BERTARELLO ZENI;ANA LUCIA BERTARELLO ZENI;DOCENTE;DOCENTE_PRIMEIRO_AUTOR
ANA LUCIA CETERTICH BAZZAN;ANA LUCIA CETERTICH BAZZAN;DOCENTE;DOCENTE_PRIMEIRO_AUTOR
ANA PATRICIA CARVALHO GONCALVES;ANA PATRICIA CARVALHO GONCALVES;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
ANDRE FILIPE SPINDOLA;ANDRE FILIPE SPINDOLA;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
ANDRE VICENTE;ANDRE VICENTE;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
ANDREA DA CONSOLACAO DE OLIVEIRA CARVALHO;ANDREA DA CONSOLACAO DE OLIVEIRA CARVALHO;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
ANDREA FLÁVIA TENORIO CARNEIRO;ANDREA FLÁVIA TENORIO CARNEIRO;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
ANDREA LOPES IESCHECK;ANDREA LOPES IESCHECK;DOCENTE;DOCENTE_NAO_PRIMEIRO
ANDREA PAESANO JUNIOR;ANDREA PAESANO JUNIOR;DOCENTE;DOCENTE_PRIMEIRO_AUTOR
ANDREIA GERNISKI MACEDO;ANDREIA GERNISKI MACEDO;DOCENTE;DOCENTE_PRIMEIRO_AUTOR
ANDRESSA LUNARDI;ANDRESSA LUNARDI;DISCENTE;DISCENTE
ANDRESSA NOVATSKI;ANDRESSA NOVATSKI;DOCENTE;DOCENTE_PRIMEIRO_AUTOR
ANGELA MARIA CASARIL;ANGELA MARIA CASARIL;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
ANITA BALDISSERA KESSLER;ANITA BALDISSERA KESSLER;DISCENTE;DISCENTE
ANITA MARIA DA ROCHA FERNANDES;ANITA MARIA DA ROCHA FERNANDES;DOCENTE;DOCENTE_PRIMEIRO_AUTOR
ANNA LUIZA METIDIERI CRUZ MALTHEZ;ANNA LUIZA METIDIERI CRUZ MALTHEZ;DOCENTE;DOCENTE_PRIMEIRO_AUTOR
ANTONIO APARECIDO MOZETO;ANTONIO APARECIDO MOZETO;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
ANTONIO PEDRO VIERO;ANTONIO PEDRO VIERO;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
ARIANE MASSAE MASUDA;ARIANE MASSAE MASUDA;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
ARTUR OSCAR LOPES;ARTUR OSCAR LOPES;DOCENTE;DOCENTE_NAO_PRIMEIRO
ASAD NAWAZ;ASAD NAWAZ;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
AUREA MARIA CIOTTI;AUREA MARIA CIOTTI;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
BARBARA TIRLONI;BARBARA TIRLONI;DOCENTE;DOCENTE_NAO_PRIMEIRO
BIJEESH KOZHIKKODAN VEETTIL;BIJEESH KOZHIKKODAN VEETTIL;EGRESSO;EGRESSO
BRUNA T SCHAEFER;BRUNA T SCHAEFER;NÃO INFORMADO;NAO_INFORMADO
CARLA DE ANDRADE HARTWIG;CARLA DE ANDRADE HARTWIG;DOCENTE;DOCENTE_PRIMEIRO_AUTOR
CARLOS ALBERTO EIRAS GARCIA;CARLOS ALBERTO EIRAS GARCIA;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
