Id;Label;Tipo;CategoriaNo
A FELTRE;A FELTRE;NÃO INFORMADO;NAO_INFORMADO
ABDELMOTTALEB BEM LAMIN;ABDELMOTTALEB BEM LAMIN;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
ABRAAO JESSE CAPISTRANO DE SOUZA;ABRAAO JESSE CAPISTRANO DE SOUZA;DOCENTE;DOCENTE_PRIMEIRO_AUTOR
ADEMIR ALVES RIBEIRO;ADEMIR ALVES RIBEIRO;DOCENTE;DOCENTE_PRIMEIRO_AUTOR
ADEMIR MARQUES JUNIOR;ADEMIR MARQUES JUNIOR;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
ÁDRIAN BONILLA PETRICIOLET;ÁDRIAN BONILLA PETRICIOLET;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
ADRIANE BEATRIZ SCHELIN MAIA;ADRIANE BEATRIZ SCHELIN MAIA;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
ADRIANO CESAR DE MORAIS BARONI;ADRIANO CESAR DE MORAIS BARONI;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
ADRIANO DE CEZARO;ADRIANO DE CEZARO;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
ADRYANA ROCHA CLEMENTINO;ADRYANA ROCHA CLEMENTINO;NÃO INFORMADO;NAO_INFORMADO
AFFONSO CELSO GONCALVES JUNIOR;AFFONSO CELSO GONCALVES JUNIOR;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
AFONSO FERREIRA;AFONSO FERREIRA;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
ALANA CAROLINA WINDISCH;ALANA CAROLINA WINDISCH;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
ALBERTO EGON SCHAEFFER FILHO;ALBERTO EGON SCHAEFFER FILHO;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
ALBERTO MARTINEZ CUEZVA;ALBERTO MARTINEZ CUEZVA;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
ALBERTO RODRIGUEZ ARDILA;ALBERTO RODRIGUEZ ARDILA;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
ALDO FELIX CRAIEVICH;ALDO FELIX CRAIEVICH;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
ALDO JOSE GORGATTI ZARBIN;ALDO JOSE GORGATTI ZARBIN;PARTICIPANTE EXTERNO;DOCENTE_PRIMEIRO_AUTOR
ALESSANDRA DA SILVA DOS SANTOS;ALESSANDRA DA SILVA DOS SANTOS;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
ALESSANDRO FABRICIO GARCIA;ALESSANDRO FABRICIO GARCIA;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
ALESSANDRO SILVEIRA DUARTE;ALESSANDRO SILVEIRA DUARTE;EGRESSO;EGRESSO
ALEX CESAR PEREIRA ROCHA;ALEX CESAR PEREIRA ROCHA;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
ALEX LUCIANO ROESLER RESE;ALEX LUCIANO ROESLER RESE;EGRESSO;EGRESSO
ALEX MINAKAWA SATO;ALEX MINAKAWA SATO;DISCENTE;DISCENTE
ALEXANDR KAMENCHTCHIK;ALEXANDR KAMENCHTCHIK;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
ALEXANDRE DA CAS VIEGAS;ALEXANDRE DA CAS VIEGAS;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
ALEXANDRE JOSE TUOTO SILVEIRA MELLO;ALEXANDRE JOSE TUOTO SILVEIRA MELLO;DOCENTE;DOCENTE_PRIMEIRO_AUTOR
ALEXANDRE KIRILOV;ALEXANDRE KIRILOV;DOCENTE;DOCENTE_PRIMEIRO_AUTOR
ALEXANDRE L ERARIO;ALEXANDRE L ERARIO;DOCENTE;DOCENTE_PRIMEIRO_AUTOR
ALEXANDRE TAVARES BARAVIERA;ALEXANDRE TAVARES BARAVIERA;DOCENTE;DOCENTE_PRIMEIRO_AUTOR
ALEXEY N VOLKOV;ALEXEY N VOLKOV;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
ALFREDO RAYA;ALFREDO RAYA;NÃO INFORMADO;NAO_INFORMADO
ALFREDO RICARDO MARQUES DE OLIVEIRA;ALFREDO RICARDO MARQUES DE OLIVEIRA;DOCENTE;DOCENTE_NAO_PRIMEIRO
ALI MESSAOUDI;ALI MESSAOUDI;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
ALLYA LARROZA MUHAMMAD EID;ALLYA LARROZA MUHAMMAD EID;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
ALOISI SOMER;ALOISI SOMER;EGRESSO;EGRESSO
ALTAIR OLIVO SANTIN;ALTAIR OLIVO SANTIN;DOCENTE;DOCENTE_NAO_PRIMEIRO
ALUIZIO HAENDCHEN FILHO;ALUIZIO HAENDCHEN FILHO;DOCENTE;DOCENTE_PRIMEIRO_AUTOR
ALVARO DE SOUZA DUTRA;ALVARO DE SOUZA DUTRA;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
ALVARO LUIZ DE BORTOLI;ALVARO LUIZ DE BORTOLI;DOCENTE;DOCENTE_PRIMEIRO_AUTOR
ALVERI ALVES SANT ANA;ALVERI ALVES SANT ANA;DOCENTE;DOCENTE_PRIMEIRO_AUTOR
ANA JULIA MIZHER;ANA JULIA MIZHER;NÃO INFORMADO;NAO_INFORMADO
ANA PAULA DA SILVA KOLTUN;ANA PAULA DA SILVA KOLTUN;DISCENTE;DISCENTE
ANA PAULA GIUSSANI MOCELLIN;ANA PAULA GIUSSANI MOCELLIN;DISCENTE;DISCENTE
ANA PAULA STURBELLE SCHILLER;ANA PAULA STURBELLE SCHILLER;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
ANCA LUIZA ALEXE IONESCU;ANCA LUIZA ALEXE IONESCU;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
ANDERSON CAPRONI;ANDERSON CAPRONI;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
ANDERSON MACEDO SETTI;ANDERSON MACEDO SETTI;EGRESSO;EGRESSO
ANDERSON SANTOS DA SILVA;ANDERSON SANTOS DA SILVA;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
ANDERSSON BARISON;ANDERSSON BARISON;DOCENTE;DOCENTE_PRIMEIRO_AUTOR
ANDRE CARRARA MORANDINI;ANDRE CARRARA MORANDINI;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
ANDRE FABIANO STEKLAIN LISBOA;ANDRE FABIANO STEKLAIN LISBOA;DOCENTE;DOCENTE_PRIMEIRO_AUTOR
ANDRE GONCALVES MEDEIROS;ANDRE GONCALVES MEDEIROS;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
ANDRE GUSTAVO DE OLIVEIRA;ANDRE GUSTAVO DE OLIVEIRA;DISCENTE;DISCENTE
ANDRE LUIS DE GASPER;ANDRE LUIS DE GASPER;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
ANDRE MAURICIO BRINATTI;ANDRE MAURICIO BRINATTI;DOCENTE;DOCENTE_NAO_PRIMEIRO
ANDRE PASSAGLIA SCHUCH;ANDRE PASSAGLIA SCHUCH;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
ANDRE RICARDO FAJARDO;ANDRE RICARDO FAJARDO;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
ANDRE SIMPSON;ANDRE SIMPSON;NÃO INFORMADO;NAO_INFORMADO
ANDRE VICENTE;ANDRE VICENTE;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
ANDREA DE OLIVEIRA DA ROCHA FRANCO;ANDREA DE OLIVEIRA DA ROCHA FRANCO;EGRESSO;EGRESSO
