Id;Label;Tipo;CategoriaNo
ABEL ANDRE CANDIDO RECCO;ABEL ANDRE CANDIDO RECCO;DOCENTE;DOCENTE_PRIMEIRO_AUTOR
ABHISHEK SINGH;ABHISHEK SINGH;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
ACACIO ANTONIO FERREIRA ZIELINSKI;ACACIO ANTONIO FERREIRA ZIELINSKI;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
ACHILLES D BOURSIANIS;ACHILLES D BOURSIANIS;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
ADALBERTO LEANDRO FAXINA;ADALBERTO LEANDRO FAXINA;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
ADALBERTO MELLER;ADALBERTO MELLER;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
ADENILDA CRISTINA HONORIO FRANCA;ADENILDA CRISTINA HONORIO FRANCA;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
ADENISE LORENCI WOICIECHOWSKI;ADENISE LORENCI WOICIECHOWSKI;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
ADILSON BEN DA COSTA;ADILSON BEN DA COSTA;DOCENTE;DOCENTE_PRIMEIRO_AUTOR
ADMILSON TEIXEIRA FRANCO;ADMILSON TEIXEIRA FRANCO;PARTICIPANTE EXTERNO;DOCENTE_PRIMEIRO_AUTOR
ADMIR CRESO DE LIMA TARGINO;ADMIR CRESO DE LIMA TARGINO;DOCENTE;DOCENTE_PRIMEIRO_AUTOR
ÁDRIAN BONILLA PETRICIOLET;ÁDRIAN BONILLA PETRICIOLET;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
ADRIANA BARRINHA FERNANDES MORETTI;ADRIANA BARRINHA FERNANDES MORETTI;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
ADRIANA RAFFIN POHLMANN;ADRIANA RAFFIN POHLMANN;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
ADRIANO BRANDELLI;ADRIANO BRANDELLI;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
ADRIANO DA SILVA;ADRIANO DA SILVA;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
ADRIANO FAGALI DE SOUZA;ADRIANO FAGALI DE SOUZA;DOCENTE;DOCENTE_PRIMEIRO_AUTOR
ADRIANO FERRETI BORGATTO;ADRIANO FERRETI BORGATTO;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
ADRIANO MICHAEL BERNARDIN;ADRIANO MICHAEL BERNARDIN;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
AECIO DE LIMA OLIVEIRA;AECIO DE LIMA OLIVEIRA;EGRESSO;EGRESSO
AGNES DE PAULA SCHEER;AGNES DE PAULA SCHEER;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
ALAN NELSON ARENHART HEBERLE;ALAN NELSON ARENHART HEBERLE;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
ALANA PAULA DA COSTA QUISPE;ALANA PAULA DA COSTA QUISPE;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
ALBERTO PORTIOLI STAUDACHER;ALBERTO PORTIOLI STAUDACHER;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
ALBERTO WISNIEWSKI JUNIOR;ALBERTO WISNIEWSKI JUNIOR;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
ALDEMIR APARECIDO CAVALINI JUNIOR;ALDEMIR APARECIDO CAVALINI JUNIOR;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
ALECSANDER MERGEN;ALECSANDER MERGEN;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
ALEJANDRA ORTIZ RICO;ALEJANDRA ORTIZ RICO;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
ALEJANDRO FRANCISCO MAC CAWLEY VERGARA;ALEJANDRO FRANCISCO MAC CAWLEY VERGARA;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
ALEJANDRO GERMAN FRANK;ALEJANDRO GERMAN FRANK;PARTICIPANTE EXTERNO;DOCENTE_PRIMEIRO_AUTOR
ALEJANDRO KNAESEL ARRABAL;ALEJANDRO KNAESEL ARRABAL;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
ALESANDRO BAIL;ALESANDRO BAIL;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
ALESSANDRA MACHADO BARON;ALESSANDRA MACHADO BARON;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
ALESSANDRO CAZONATTO GALVAO;ALESSANDRO CAZONATTO GALVAO;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
ALESSANDRO DO NASCIMENTO VARGAS;ALESSANDRO DO NASCIMENTO VARGAS;DOCENTE;DOCENTE_PRIMEIRO_AUTOR
ALESSANDRO GOEDTEL;ALESSANDRO GOEDTEL;DOCENTE;DOCENTE_NAO_PRIMEIRO
ALESSANDRO GONCALVES GIRARDI;ALESSANDRO GONCALVES GIRARDI;DOCENTE;DOCENTE_PRIMEIRO_AUTOR
ALESSANDRO NOGUEIRA;ALESSANDRO NOGUEIRA;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
ALESSANDRO PEGORETTI;ALESSANDRO PEGORETTI;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
ALEXANDER MAIER;ALEXANDER MAIER;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
ALEXANDRE ABDALLA ARAUJO;ALEXANDRE ABDALLA ARAUJO;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
ALEXANDRE DE AMORIM TEIXEIRA;ALEXANDRE DE AMORIM TEIXEIRA;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
ALEXANDRE FERREIRA SANTOS;ALEXANDRE FERREIRA SANTOS;DOCENTE;DOCENTE_PRIMEIRO_AUTOR
ALEXANDRE LUIZ MANFRO;ALEXANDRE LUIZ MANFRO;DISCENTE;DISCENTE
ALEXANDRE MAGNUS GOMES CARVALHO;ALEXANDRE MAGNUS GOMES CARVALHO;PARTICIPANTE EXTERNO;DOCENTE_PRIMEIRO_AUTOR
ALEXANDRE MIKOWSKI;ALEXANDRE MIKOWSKI;PARTICIPANTE EXTERNO;DOCENTE_NAO_PRIMEIRO
ALEXANDRE PEREIRA DALL OGLIO;ALEXANDRE PEREIRA DALL OGLIO;DISCENTE;DISCENTE
ALEXANDRE VIDAL BENTO;ALEXANDRE VIDAL BENTO;DISCENTE;DISCENTE
ALFREDO JOSE ZARA;ALFREDO JOSE ZARA;DOCENTE;DOCENTE_NAO_PRIMEIRO
ALINE MACHADO LUCAS;ALINE MACHADO LUCAS;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
ALINE ROBERTA DE PAULI;ALINE ROBERTA DE PAULI;EGRESSO;EGRESSO
ALINE THEODORO TOCI;ALINE THEODORO TOCI;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
ALÍRIO EGÍDIO RODRIGUES;ALÍRIO EGÍDIO RODRIGUES;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
ALISSON CAETANO NEVES;ALISSON CAETANO NEVES;DISCENTE;DISCENTE
ALISSON ROCHA MACHADO;ALISSON ROCHA MACHADO;DOCENTE;DOCENTE_PRIMEIRO_AUTOR
ALISSON SCHONS;ALISSON SCHONS;EGRESSO;EGRESSO
ALISSON SIMONETTI MILANI;ALISSON SIMONETTI MILANI;DOCENTE;DOCENTE_PRIMEIRO_AUTOR
ALLAN ROMARIO DE PAULA DIAS;ALLAN ROMARIO DE PAULA DIAS;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
ALMIR BARROS DA SILVA SANTOS NETO;ALMIR BARROS DA SILVA SANTOS NETO;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
ALOISI SOMER;ALOISI SOMER;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
ALONDRA BEATRIZ ALVAREZ PEREZ;ALONDRA BEATRIZ ALVAREZ PEREZ;DISCENTE;DISCENTE
ALVARO JOSE BACK;ALVARO JOSE BACK;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
ALVARO LUIZ DE BORTOLI;ALVARO LUIZ DE BORTOLI;DOCENTE;DOCENTE_PRIMEIRO_AUTOR
ALVARO LUIZ NEUENFELDT JUNIOR;ALVARO LUIZ NEUENFELDT JUNIOR;DOCENTE;DOCENTE_PRIMEIRO_AUTOR
AMANDA DE ALMEIDA DOS SANTOS;AMANDA DE ALMEIDA DOS SANTOS;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
AMANDA SANFERARI;AMANDA SANFERARI;EGRESSO;EGRESSO
AMARILDO EIDER BARBOSA PEREIRA;AMARILDO EIDER BARBOSA PEREIRA;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
